dataset,selector,objective,acc_baseline,acc_post,rec_baseline,rec_post,prec_baseline,prec_post,f1_baseline,f1_post,ddp_baseline,ddp_post,deo_baseline,deo_post
adult,topsis,ddp,0.8487 ± 0.0000,0.7866 ± 0.1040,0.6027 ± 0.0000,0.2945 ± 0.1677,0.7387 ± 0.0000,0.8813 ± 0.1432,0.6638 ± 0.0000,0.4023 ± 0.0302,0.1733 ± 0.0000,0.0567 ± 0.0061,0.0580 ± 0.0000,0.0056 ± 0.0028
adult,topsis,ddp + deo,0.8487 ± 0.0000,0.7873 ± 0.1025,0.6027 ± 0.0000,0.2961 ± 0.1677,0.7387 ± 0.0000,0.8809 ± 0.1426,0.6638 ± 0.0000,0.4042 ± 0.0347,0.1733 ± 0.0000,0.0575 ± 0.0066,0.0580 ± 0.0000,0.0062 ± 0.0021
adult,topsis,ddp_kl,0.8487 ± 0.0000,0.8037 ± 0.0208,0.6027 ± 0.0000,0.2839 ± 0.1596,0.7387 ± 0.0000,0.8944 ± 0.1014,0.6638 ± 0.0000,0.4020 ± 0.0674,0.1733 ± 0.0000,0.0691 ± 0.0649,0.0580 ± 0.0000,0.0084 ± 0.0126
adult,topsis,ddp_kl + deo_kl,0.8487 ± 0.0000,0.7933 ± 0.0466,0.6027 ± 0.0000,0.2642 ± 0.1781,0.7387 ± 0.0000,0.8989 ± 0.1237,0.6638 ± 0.0000,0.3689 ± 0.0895,0.1733 ± 0.0000,0.0605 ± 0.0506,0.0580 ± 0.0000,0.0063 ± 0.0050
adult,topsis,deo,0.8487 ± 0.0000,0.6756 ± 0.2050,0.6027 ± 0.0000,0.4676 ± 0.3590,0.7387 ± 0.0000,0.7293 ± 0.3005,0.6638 ± 0.0000,0.3966 ± 0.0565,0.1733 ± 0.0000,0.0594 ± 0.0148,0.0580 ± 0.0000,0.0042 ± 0.0030
adult,topsis,deo_kl,0.8487 ± 0.0000,0.8110 ± 0.0043,0.6027 ± 0.0000,0.2631 ± 0.0214,0.7387 ± 0.0000,0.9112 ± 0.0090,0.6638 ± 0.0000,0.4077 ± 0.0267,0.1733 ± 0.0000,0.0582 ± 0.0053,0.0580 ± 0.0000,0.0068 ± 0.0016
adult,zenith,ddp,0.8487 ± 0.0000,0.8126 ± 0.0892,0.6027 ± 0.0000,0.4358 ± 0.1591,0.7387 ± 0.0000,0.8157 ± 0.1278,0.6638 ± 0.0000,0.5358 ± 0.0763,0.1733 ± 0.0000,0.1034 ± 0.0287,0.0580 ± 0.0000,0.0276 ± 0.0150
adult,zenith,ddp + deo,0.8487 ± 0.0000,0.7669 ± 0.1381,0.6027 ± 0.0000,0.4344 ± 0.2588,0.7387 ± 0.0000,0.7922 ± 0.2104,0.6638 ± 0.0000,0.4741 ± 0.0966,0.1733 ± 0.0000,0.0901 ± 0.0418,0.0580 ± 0.0000,0.0185 ± 0.0131
adult,zenith,ddp_kl,0.8487 ± 0.0000,0.8162 ± 0.0437,0.6027 ± 0.0000,0.4420 ± 0.2119,0.7387 ± 0.0000,0.8124 ± 0.1337,0.6638 ± 0.0000,0.5227 ± 0.1329,0.1733 ± 0.0000,0.1216 ± 0.0813,0.0580 ± 0.0000,0.0321 ± 0.0144
adult,zenith,ddp_kl + deo_kl,0.8487 ± 0.0000,0.8164 ± 0.0454,0.6027 ± 0.0000,0.3945 ± 0.1732,0.7387 ± 0.0000,0.8398 ± 0.1143,0.6638 ± 0.0000,0.5022 ± 0.1037,0.1733 ± 0.0000,0.1002 ± 0.0559,0.0580 ± 0.0000,0.0243 ± 0.0139
adult,zenith,deo,0.8487 ± 0.0000,0.7757 ± 0.1218,0.6027 ± 0.0000,0.4442 ± 0.2486,0.7387 ± 0.0000,0.7910 ± 0.2012,0.6638 ± 0.0000,0.4903 ± 0.0747,0.1733 ± 0.0000,0.0979 ± 0.0467,0.0580 ± 0.0000,0.0185 ± 0.0128
adult,zenith,deo_kl,0.8487 ± 0.0000,0.8290 ± 0.0168,0.6027 ± 0.0000,0.3841 ± 0.1053,0.7387 ± 0.0000,0.8533 ± 0.0504,0.6638 ± 0.0000,0.5171 ± 0.1069,0.1733 ± 0.0000,0.0962 ± 0.0311,0.0580 ± 0.0000,0.0282 ± 0.0118
bank,topsis,ddp,0.9012 ± 0.0000,0.8963 ± 0.0070,0.3355 ± 0.0000,0.2574 ± 0.1534,0.6488 ± 0.0000,0.6483 ± 0.0375,0.4423 ± 0.0000,0.3380 ± 0.1763,0.0196 ± 0.0000,0.0144 ± 0.0092,0.0239 ± 0.0000,0.0118 ± 0.0073
bank,topsis,ddp + deo,0.9012 ± 0.0000,0.8857 ± 0.0252,0.3355 ± 0.0000,0.4373 ± 0.2429,0.6488 ± 0.0000,0.5872 ± 0.1034,0.4423 ± 0.0000,0.4388 ± 0.1394,0.0196 ± 0.0000,0.0276 ± 0.0196,0.0239 ± 0.0000,0.0098 ± 0.0056
bank,topsis,ddp_kl,0.9012 ± 0.0000,0.8914 ± 0.0228,0.3355 ± 0.0000,0.2644 ± 0.1779,0.6488 ± 0.0000,0.6503 ± 0.0735,0.4423 ± 0.0000,0.3372 ± 0.1315,0.0196 ± 0.0000,0.0158 ± 0.0160,0.0239 ± 0.0000,0.0118 ± 0.0078
bank,topsis,ddp_kl + deo_kl,0.9012 ± 0.0000,0.8979 ± 0.0058,0.3355 ± 0.0000,0.2871 ± 0.1305,0.6488 ± 0.0000,0.6490 ± 0.0237,0.4423 ± 0.0000,0.3768 ± 0.1455,0.0196 ± 0.0000,0.0156 ± 0.0079,0.0239 ± 0.0000,0.0106 ± 0.0070
