dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,ddp,0,post,"[-0.0023009954020380974, 0.16892997920513153]",0.24783270465224008,1.0,0.24783270465224008,0.39722104369961814,0.0,0.0
adult,topsis,ddp,0,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,1,post,"[0.13312764465808868, 1.0512733459472656]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp,1,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,2,post,"[0.09121687710285187, 0.8065947890281677]",0.7890940374561578,0.15567423230974634,0.9588815789473685,0.2678612451183092,0.032996569275630994,0.0026343269144830928
adult,topsis,ddp,2,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,3,post,"[0.15669426321983337, 1.2383545637130737]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp,3,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,4,post,"[0.1267099380493164, 0.9997288584709167]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp,4,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,5,post,"[0.1177472323179245, 0.9269450902938843]",0.7912447885646218,0.16635514018691588,0.950419527078566,0.2831496420861266,0.035083833639499504,0.0013997513313052379
adult,topsis,ddp,5,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,6,post,"[0.1266833394765854, 1.0003827810287476]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp,6,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,7,post,"[0.12191193550825119, 0.6177898645401001]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
