dataset,selector,objective,solution_type,acc,rec,prec,f1,ddp,deo
adult,topsis,ddp,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,topsis,ddp,post,0.7415 ± 0.1690,0.2719 ± 0.2508,0.8711 ± 0.2136,0.3243 ± 0.0474,0.0367 ± 0.0144,0.0018 ± 0.0016
adult,topsis,ddp + deo,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,topsis,ddp + deo,post,0.8048 ± 0.0170,0.2390 ± 0.0971,0.9194 ± 0.0435,0.3679 ± 0.1057,0.0543 ± 0.0272,0.0084 ± 0.0118
adult,topsis,ddp_kl,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,topsis,ddp_kl,post,0.8117 ± 0.0639,0.4182 ± 0.2111,0.8217 ± 0.1359,0.5028 ± 0.1394,0.1068 ± 0.0593,0.0246 ± 0.0214
adult,topsis,ddp_kl + deo_kl,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,topsis,ddp_kl + deo_kl,post,0.8361 ± 0.0152,0.4597 ± 0.1267,0.8122 ± 0.0644,0.5702 ± 0.1005,0.1221 ± 0.0420,0.0345 ± 0.0167
adult,topsis,deo,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,topsis,deo,post,0.8038 ± 0.0129,0.2300 ± 0.0692,0.9237 ± 0.0298,0.3623 ± 0.0802,0.0509 ± 0.0185,0.0061 ± 0.0081
adult,topsis,deo_kl,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,topsis,deo_kl,post,0.8314 ± 0.0192,0.4260 ± 0.1465,0.8282 ± 0.0726,0.5396 ± 0.1238,0.1115 ± 0.0473,0.0299 ± 0.0197
adult,zenith,ddp,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,zenith,ddp,post,0.8441 ± 0.0008,0.4990 ± 0.0085,0.7958 ± 0.0044,0.6133 ± 0.0054,0.1329 ± 0.0034,0.0420 ± 0.0035
adult,zenith,ddp + deo,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,zenith,ddp + deo,post,0.8443 ± 0.0003,0.5017 ± 0.0032,0.7944 ± 0.0019,0.6150 ± 0.0019,0.1339 ± 0.0013,0.0432 ± 0.0012
adult,zenith,ddp_kl,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,zenith,ddp_kl,post,0.8455 ± 0.0016,0.5267 ± 0.0334,0.7799 ± 0.0195,0.6276 ± 0.0169,0.1434 ± 0.0127,0.0450 ± 0.0031
adult,zenith,ddp_kl + deo_kl,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,zenith,ddp_kl + deo_kl,post,0.8453 ± 0.0014,0.5215 ± 0.0309,0.7829 ± 0.0180,0.6251 ± 0.0155,0.1415 ± 0.0118,0.0449 ± 0.0031
adult,zenith,deo,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,zenith,deo,post,0.8443 ± 0.0003,0.5017 ± 0.0034,0.7945 ± 0.0021,0.6150 ± 0.0020,0.1339 ± 0.0014,0.0432 ± 0.0013
adult,zenith,deo_kl,baseline,0.8487 ± 0.0000,0.6027 ± 0.0000,0.7387 ± 0.0000,0.6638 ± 0.0000,0.1733 ± 0.0000,0.0580 ± 0.0000
adult,zenith,deo_kl,post,0.8453 ± 0.0014,0.5201 ± 0.0286,0.7839 ± 0.0167,0.6244 ± 0.0145,0.1408 ± 0.0108,0.0441 ± 0.0026
bank,topsis,ddp,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,topsis,ddp,post,0.8926 ± 0.0077,0.1677 ± 0.1408,0.6676 ± 0.0115,0.2384 ± 0.1775,0.0088 ± 0.0088,0.0106 ± 0.0085
bank,topsis,ddp + deo,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,topsis,ddp + deo,post,0.8994 ± 0.0047,0.2940 ± 0.0865,0.6564 ± 0.0070,0.3963 ± 0.1087,0.0168 ± 0.0053,0.0182 ± 0.0057
bank,topsis,ddp_kl,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,topsis,ddp_kl,post,0.8955 ± 0.0077,0.2216 ± 0.1397,0.6583 ± 0.0137,0.3043 ± 0.1777,0.0123 ± 0.0087,0.0140 ± 0.0083
bank,topsis,ddp_kl + deo_kl,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
